lab_id,word,synonym,field,weight,source,needs_review
ozawa,行動神経生理学,,lab_name,2,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,行動神経生理学研究室,,lab_name,2,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,動物,生き物|どうぶつ|動物園|野生動物,target,5,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,マウス,,target,5,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,神経回路,,target,5,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,神経科学,,field,5,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,行動神経科学,,field,5,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,生理学,,field,5,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,行動観察,,method,4,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,カルシウムイメージング,,method,4,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,データ解析,データ分析|統計|AI|プログラミング,method,4,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,動物,生き物|どうぶつ|動物園|野生動物,keyword,4,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,マウス,,keyword,4,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,神経回路,,keyword,4,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,神経科学,,keyword,4,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,行動神経科学,,keyword,4,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,生理学,,keyword,4,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
ozawa,行動観察,,keyword,4,https://www.toyo.ac.jp/nyushi/undergraduate/lsc/dlsc/laboratory/ozawa/,false
